id,leetcode_id,url,difficulty,disguise_level,decomposition
32,876,https://leetcode.com/problems/middle-of-the-linked-list/,Easy,1,fast moves 2x slow at middle when fast done -> Fast_Slow_Pointers
33,287,https://leetcode.com/problems/find-the-duplicate-number/,Medium,4,treat array as linked list find cycle entry -> Fast_Slow_Pointers
34,104,https://leetcode.com/problems/maximum-depth-of-binary-tree/,Easy,1,max of left/right depth + 1 -> Trees_DFS
35,226,https://leetcode.com/problems/invert-binary-tree/,Easy,1,swap children recurse -> Trees_DFS
36,543,https://leetcode.com/problems/diameter-of-binary-tree/,Easy,2,max path through node is left height + right height -> Trees_DFS
37,124,https://leetcode.com/problems/binary-tree-maximum-path-sum/,Hard,4,postorder max gain left/right update global max -> Trees_DFS
38,102,https://leetcode.com/problems/binary-tree-level-order-traversal/,Medium,1,bfs collect nodes per level via queue size snapshot -> Trees_BFS
39,199,https://leetcode.com/problems/binary-tree-right-side-view/,Medium,2,bfs last node in each level -> Trees_BFS
40,994,https://leetcode.com/problems/rotting-oranges/,Medium,3,multi-source bfs from all rotten oranges -> Trees_BFS
41,215,https://leetcode.com/problems/kth-largest-element-in-an-array/,Medium,2,min-heap of size k -> Heaps
42,347,https://leetcode.com/problems/top-k-frequent-elements/,Medium,2,frequency map then min-heap top k -> Heaps
43,295,https://leetcode.com/problems/find-median-from-data-stream/,Hard,3,two heaps max-heap lower half min-heap upper half -> Heaps
44,78,https://leetcode.com/problems/subsets/,Medium,1,include or exclude each element backtrack -> Backtracking
45,46,https://leetcode.com/problems/permutations/,Medium,1,swap element into position recurse -> Backtracking
46,39,https://leetcode.com/problems/combination-sum/,Medium,2,pick element allow repeat prune when over target -> Backtracking
47,51,https://leetcode.com/problems/n-queens/,Hard,3,place queen per row check col and diagonals -> Backtracking
48,200,https://leetcode.com/problems/number-of-islands/,Medium,2,dfs/bfs flood fill marking visited -> Graphs
49,133,https://leetcode.com/problems/clone-graph/,Medium,2,bfs with hash map original to clone -> Graphs
50,207,https://leetcode.com/problems/course-schedule/,Medium,3,topological sort detect cycle in directed graph -> Graphs
51,417,https://leetcode.com/problems/pacific-atlantic-water-flow/,Medium,4,reverse bfs from both coasts mark reachable -> Graphs
52,547,https://leetcode.com/problems/number-of-provinces/,Medium,2,union-find or dfs count components -> Union_Find
53,684,https://leetcode.com/problems/redundant-connection/,Medium,3,union-find edge creates cycle when already connected -> Union_Find
54,721,https://leetcode.com/problems/accounts-merge/,Medium,4,union emails by account then group by root -> Union_Find
55,70,https://leetcode.com/problems/climbing-stairs/,Easy,1,dp[i]=dp[i-1]+dp[i-2] Fibonacci recurrence -> Dynamic_Programming
56,198,https://leetcode.com/problems/house-robber/,Medium,2,dp[i]=max(dp[i-1] dp[i-2]+val) skip or take -> Dynamic_Programming
57,322,https://leetcode.com/problems/coin-change/,Medium,2,dp[i]=min coins to make amount i -> Dynamic_Programming
58,300,https://leetcode.com/problems/longest-increasing-subsequence/,Medium,3,dp[i]=longest ending at i or binary search patience sort -> Dynamic_Programming
59,55,https://leetcode.com/problems/jump-game/,Medium,2,greedily track furthest reachable index -> Greedy
60,56,https://leetcode.com/problems/merge-intervals/,Medium,2,sort by start merge overlapping greedily -> Greedy
